"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"4928","D2HGDH","turquoise",0.0040811982273447,-0.111014665520224,0.510603853851673,-0.0490378705917613,173.534999834611,35.1399609972403
"4929","D4S234E","grey",0.334655702639722,0.0470192467522054,0.521311021705603,-0.0456831399042102,0.00330794301194534,0.00575458903225335
"4930","DAAM1","brown",0.517182221527833,0.0448736280844073,0.392039060466595,-0.0822965797615623,16.1412862642906,22.8858294944577
"4931","DAAM2","grey",0.885216114903656,0.0103649309514445,0.679390559989599,-0.0482158394280564,0.00193403555735874,0.000670679558776197
"4932","DAB1","turquoise",0.29020327031273,0.100504014223254,0.901257634216054,0.0180636751371565,0.0770358927534357,0.0127418650237156
"4933","MIR548D2","turquoise",0.685354777192774,0.010673382503629,0.405432524404201,-0.0332813320341497,0.331782000819182,0.012599628117053
"4934","DAB2","turquoise",0.425028440236571,-0.0631858441512353,0.329168194592743,0.115197869959517,22.2091124667043,0.560787004241202
"4935","DAB2IP","black",0.0538589169944125,-0.216159886834752,0.0936684788080086,-0.261893693541673,9.56072504088482,7.01633306953769
"4936","DACH1","green",0.809283033870044,-0.0124350795165857,0.8053608347081,0.0191990062696777,1.30301315347159,0.314730805887942
"4937","DACH2","red",0.36006808212372,0.0465499209114183,0.0297972047541422,0.173235711926496,273.771036750503,267.851996030458
"4938","DACT1","yellow",0.942646406451131,-0.00336149141643887,0.318629852603573,0.0746921048108208,0.265405530982724,0.142903771022443
"4939","DACT2","yellow",0.0016129199455469,0.171225872208099,0.0533368124797249,0.13631912117381,8.00789157807461,4.91326177988432
"4940","DACT3","turquoise",0.0243756675485199,-0.122350964177434,0.235525663970061,-0.116403534813607,77.2464293468966,4.90872328002862
"4941","DAD1","blue",0.243638586446786,0.117963624879417,0.517080530286991,0.10721836190359,17.2796545156024,15.8275270840597
"4942","DAD1L","turquoise",0.138528026314539,-0.0976607031272951,0.551544286409503,-0.041999197013085,0.781223871109202,0.00882356546524635
"4943","DAG1","brown",0.587177594692739,-0.0344687855903148,0.849269447522673,-0.0211464272001749,1.45677111556264,0.285905848641889
